,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4399,0,1,4182,1394,2091,4182,4182,2091,1394,697,1394,4182,4182,1394,1394,4182,2091,2091,4182,4182,4182,4182,1394,697,1394,2091,2091,1394,2091,2091,697,1394,4182,2091,1394,4182,2091,1394,2091,1394,4182,2091,1394,4182,4182,4182,246,246,4182,2091,4182,4182,4182,4182,4182,4182,246,246,4182,2091,4182,697,4182,2091,697,4182,1394,4182,2091,1394,4182,4182,1394,1394,4182,4182,1394,4182,4182,1394,1394,697,102,-1,102,4182,4182,4182,4182,1394,1394,4182,2091,697,1394,1394,4182,4182,4182,4182
2291,0,1,630,630,315,45,315,210,210,315,630,210,210,630,90,630,315,90,70,-1,7,630,630,126,315,45,42,210,630,630,21,210,126,630,126,630,315,14,-1,14,630,126,630,315,630,21,30,630,126,105,210,126,630,630,45,630,70,-1,35,630,630,630,630,630,105,210,90,630,210,210,18,-1,18,315,315,70,-1,35,630,630,315,315,630,105,210,90,630,105,30,630,630,126,630,630,14,-1,5,126,630,630
1501,0,1,429,858,429,858,858,858,143,429,286,858,286,429,286,286,429,286,143,858,858,286,26,-1,6,429,429,286,858,858,858,429,429,286,858,858,429,858,286,858,858,286,858,858,858,78,-1,78,858,429,429,858,143,858,858,33,66,286,286,858,858,286,143,858,143,286,858,286,78,-1,78,286,429,429,858,858,858,858,22,-1,22,429,858,858,858,858,858,143,858,286,858,26,-1,26,286,429,286,286,429,858
3053,0,1,195,390,195,39,78,390,65,195,195,390,390,390,390,130,195,390,195,195,195,390,390,30,30,39,78,130,390,390,78,-1,39,130,390,390,39,78,195,390,195,390,390,390,390,195,130,390,390,195,195,195,390,390,390,30,6,78,130,390,390,26,-1,78,65,390,390,39,78,390,390,390,195,390,390,390,195,390,10,-1,15,195,390,390,390,390,390,39,78,130,195,130,78,-1,26,195,390,65,39,78
3337,0,1,700,700,350,25,70,700,700,350,140,700,700,350,10,700,175,10,700,175,350,350,350,350,175,25,700,700,700,700,350,350,140,350,700,700,35,175,700,140,700,140,700,350,140,350,100,350,700,350,700,700,350,700,25,700,350,20,175,700,140,700,140,700,350,70,100,700,350,140,50,-1,100,700,700,700,50,350,350,175,175,175,350,700,70,50,700,35,50,700,700,28,350,700,700,35,50,350,700,700
5959,0,1,2300,2300,1150,1150,230,2300,2300,1150,92,2300,2300,1150,230,2300,575,230,2300,1150,1150,1150,1150,1150,575,575,2300,2300,2300,2300,1150,1150,460,1150,2300,2300,115,575,2300,460,2300,460,2300,1150,460,1150,100,-1,100,1150,2300,2300,1150,2300,575,2300,575,460,1150,2300,460,2300,460,2300,1150,230,2300,2300,575,460,1150,575,2300,2300,2300,2300,1150,1150,1150,575,1150,575,1150,2300,115,1150,2300,230,1150,2300,2300,92,1150,100,-1,5,1150,575,2300,2300
4189,0,1,1740,290,870,870,1740,1740,580,145,1740,116,435,174,174,435,435,1740,1740,870,145,348,435,580,580,435,1740,290,580,348,1740,1740,348,580,290,1740,870,580,580,870,348,290,870,1740,1740,870,870,174,174,870,116,1740,290,580,1740,1740,870,435,10,-1,2,-1,29,1740,290,870,870,1740,1740,580,290,1740,116,870,87,174,435,870,1740,1740,870,145,348,870,580,580,435,1740,290,580,348,1740,1740,348,580,145,1740,870,580,580
4331,0,1,132,66,66,44,132,132,44,33,66,132,66,-1,11,132,33,66,132,132,132,132,33,66,132,22,-1,22,132,3,6,132,132,132,132,33,66,12,6,-1,11,132,66,66,132,132,132,132,66,66,132,66,-1,22,132,33,66,132,132,132,132,66,66,132,22,-1,2,-1,3,66,44,132,132,132,66,66,132,66,-1,66,132,33,66,132,132,132,132,66,66,132,66,-1,11,132,66,66,12,12,132,132
4757,0,1,156,156,78,156,78,78,52,78,13,78,52,39,52,26,39,26,52,156,156,52,52,12,78,78,156,52,78,78,156,156,156,52,156,156,39,78,26,156,78,52,39,78,39,156,13,78,156,39,156,156,26,-1,78,156,156,26,52,78,78,52,26,78,26,52,78,52,78,26,78,52,156,156,156,156,156,78,26,-1,52,39,78,156,156,156,156,52,156,13,78,26,156,26,52,39,26,13,156,39
2507,0,1,117,156,117,936,468,312,39,78,104,936,468,936,936,936,117,312,234,468,936,312,104,36,12,468,936,52,936,936,312,936,117,936,936,468,234,234,468,936,936,234,936,312,936,936,52,936,468,156,468,312,312,936,468,9,24,234,936,936,936,468,936,312,39,78,312,468,936,234,156,234,78,-1,78,234,156,234,72,-1,24,39,78,312,936,468,936,936,936,117,312,234,468,936,312,312,468,156,468,936
2071,0,1,492,123,246,164,492,492,164,123,246,492,82,-1,82,492,123,246,164,492,492,164,246,246,492,82,-1,41,492,123,246,164,492,492,164,246,246,492,82,-1,41,492,246,246,164,492,492,164,123,246,492,82,-1,82,492,246,246,164,492,492,164,123,246,492,82,-1,82,492,123,246,164,492,492,164,246,246,492,82,-1,82,492,123,6,-1,12,492,164,123,246,492,82,-1,41,492,123,246,164,492,492,164
11021,0,1,66,88,33,44,264,264,22,44,132,66,264,264,88,88,33,132,132,264,132,132,22,264,88,22,264,88,264,264,264,264,66,264,132,264,132,24,264,33,44,264,44,88,66,22,264,132,264,132,66,264,88,44,264,132,264,66,88,88,264,264,88,264,11,264,88,-1,44,132,88,132,44,66,264,88,88,264,66,132,132,22,88,264,132,66,264,66,66,-1,33,11,88,33,44,264,264,66,132,132
