,0,1,2,3,4
59987,0,1,9916,29748,4958
61063,0,1,30284,30284,15142
61601,0,1,5092,15276,2546
62677,0,1,7772,15544,3886
64291,0,1,31892,31892,15946
64829,0,1,1608,8040,804
67519,0,1,6700,33500,3350
69133,0,1,1072,17152,536
70747,0,1,35108,35108,17554
34417,0,1,945,630,945
35501,0,1,3510,390,1755
37127,0,1,9180,2040,4590
37669,0,1,6210,690,3105
40379,0,1,19980,2220,9990
40921,0,1,135,150,135
42547,0,1,7020,390,3510
44173,0,1,810,810,405
45257,0,1,11205,2490,11205
46883,0,1,23220,2580,11610
48509,0,1,24030,2670,12015
49051,0,1,540,90,270
51761,0,1,2565,570,2565
52303,0,1,4320,240,2160
53387,0,1,26460,2940,13230
53929,0,1,1485,990,1485
57181,0,1,1890,210,945
60433,0,1,4995,1110,4995
61517,0,1,30510,3390,15255
62059,0,1,10260,570,5130
63143,0,1,3915,3480,3915
64769,0,1,16065,3570,16065
65311,0,1,1080,120,540
68021,0,1,1350,750,675
69647,0,1,2160,3840,1080
71273,0,1,17685,3930,17685
72899,0,1,36180,4020,18090
35179,0,1,644,2898,322
36287,0,1,5980,4485,2990
37949,0,1,1564,9384,782
38503,0,1,276,138,138
41273,0,1,3404,10212,1702
41827,0,1,1380,3450,690
43489,0,1,1196,1794,598
45151,0,1,7452,3726,3726
46259,0,1,7636,5727,3818
47921,0,1,3956,11868,1978
49583,0,1,8188,6141,4094
50137,0,1,4140,1035,2070
52907,0,1,8740,6555,4370
53461,0,1,2208,1104,1104
54569,0,1,4508,13524,2254
55123,0,1,9108,4554,4554
58447,0,1,9660,4830,4830
61771,0,1,3404,5106,1702
62879,0,1,10396,7797,5198
63433,0,1,1748,1311,874
64541,0,1,2668,16008,1334
66203,0,1,10948,8211,5474
66757,0,1,552,2760,276
69527,0,1,2300,8625,1150
71189,0,1,368,17664,184
72851,0,1,12052,9039,6026
74513,0,1,6164,18492,3082
75067,0,1,12420,690,6210
35687,0,1,70,2520,35
36811,0,1,910,3640,455
38497,0,1,2380,4760,1190
39059,0,1,4830,19320,2415
41869,0,1,5180,10360,2590
42431,0,1,210,1400,105
44117,0,1,1820,10920,910
45803,0,1,5670,22680,2835
46927,0,1,5810,23240,2905
48613,0,1,6020,12040,3010
50299,0,1,6230,24920,3115
50861,0,1,1260,2520,630
53671,0,1,1330,5320,665
54233,0,1,3360,560,1680
55357,0,1,980,1960,490
55919,0,1,6930,27720,3465
59291,0,1,210,840,105
62663,0,1,2590,31080,1295
63787,0,1,7910,31640,3955
64349,0,1,2660,15960,1330
65473,0,1,2030,8120,1015
67159,0,1,1190,4760,595
67721,0,1,840,840,420
70531,0,1,350,7000,175
72217,0,1,560,8960,280
73903,0,1,9170,36680,4585
75589,0,1,9380,18760,4690
76151,0,1,1890,840,945
77837,0,1,3220,19320,1610
