,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
739.0,0,1,246,738,123,123,369,738,82,369,246,369,738,246,369,18,123,369,738,738,41,369,738,738,369,123,123,246,738,738,369,369,246,738,738,738,369,41,369,369,246,369,738,369,369,369,369,82,738,369,82,738,82,246,123,369,369,41,369,369,738,246,738,246,41,246,369,369,369,369,369,738,738,369,246,738,738,738,738,369,123,369,738,738,369,369,738,369,738,246,738,369,738,246,123,738,369,82,738,123
743.0,0,1,371,371,371,742,371,742,371,371,742,371,53,742,742,742,371,742,371,371,742,742,371,371,371,371,742,371,742,742,742,371,371,371,742,371,371,53,53,742,742,371,106,371,371,742,371,371,371,371,53,742,742,371,371,742,742,371,742,742,742,742,53,742,371,53,371,742,106,371,371,371,371,106,371,371,371,742,742,742,106,371,53,371,742,371,371,742,371,742,106,371,371,371,53,742,371,371,371,371
751.0,0,1,375,750,375,375,250,250,125,375,125,150,750,375,750,750,375,750,375,375,375,375,250,375,750,375,125,250,750,750,750,750,75,375,150,750,125,375,125,750,375,50,125,125,750,125,125,375,50,125,375,25,75,25,750,750,250,750,250,375,250,75,750,750,125,375,375,750,250,750,250,125,3,6,375,250,15,375,30,750,5,375,750,150,375,50,75,375,750,375,375,750,375,125,125,375,750,375,375,250
757.0,0,1,756,9,378,756,756,189,252,9,27,189,378,189,756,756,189,189,756,378,252,189,252,108,252,378,36,3,6,36,27,756,756,189,252,756,378,756,252,189,378,756,756,756,378,756,126,28,189,189,84,189,378,27,756,36,756,378,378,7,84,126,7,189,126,84,252,108,378,108,63,756,84,54,126,378,27,7,12,21,756,9,189,54,18,252,189,4,756,378,27,63,756,756,378,28,756,756,252,189
761.0,0,1,380,152,190,38,760,760,380,76,380,760,760,152,760,152,95,380,190,380,95,380,760,76,760,19,760,152,152,380,760,760,76,190,95,40,380,380,190,4,380,20,190,760,760,76,190,380,760,380,380,760,760,760,760,760,760,760,190,380,760,152,8,760,190,152,380,5,380,152,760,760,95,760,95,152,380,10,190,190,190,38,38,760,76,380,152,40,760,95,95,380,380,190,95,380,152,760,190,760
769.0,0,1,384,48,192,128,384,256,128,24,192,768,64,768,768,384,96,128,128,12,384,768,256,768,384,64,256,16,768,768,192,384,384,256,192,256,192,768,128,256,8,192,768,32,768,384,768,384,96,128,384,384,768,768,384,768,256,16,768,768,128,768,4,768,64,768,768,256,384,768,768,768,384,768,256,192,192,192,768,256,384,12,128,768,256,64,384,768,768,128,64,384,256,128,64,384,128,256,192,768
773.0,0,1,772,772,386,772,386,772,772,386,193,386,772,772,386,193,193,193,772,772,772,386,772,772,193,386,193,772,772,772,772,772,772,772,772,193,193,193,193,193,386,772,772,772,193,772,386,193,772,386,772,772,772,772,193,772,193,193,386,772,386,386,193,772,386,386,193,193,386,386,772,772,772,772,772,772,772,772,772,193,772,193,193,193,193,772,386,386,772,772,386,193,772,193,772,386,386,386,772,193
787.0,0,1,786,262,393,786,393,393,262,131,393,393,786,786,786,393,393,786,786,393,262,786,786,393,131,393,393,262,131,393,786,131,786,786,393,786,393,393,262,393,393,393,393,262,131,786,262,393,786,393,262,393,262,786,393,786,786,786,262,786,131,262,786,393,131,393,393,393,262,786,131,262,262,131,786,786,393,393,786,786,786,131,786,786,262,393,393,786,786,786,393,786,393,262,786,262,393,393,262,393
797.0,0,1,796,796,398,796,199,796,796,398,199,199,796,199,199,398,199,398,796,796,796,398,796,796,398,398,796,796,796,796,796,796,796,796,796,398,199,796,398,796,398,199,796,199,398,796,398,796,796,398,796,796,398,796,398,796,398,199,398,796,199,199,398,796,398,796,199,398,199,199,796,398,796,199,398,796,796,796,199,796,796,199,796,796,199,796,796,199,796,199,398,796,796,199,199,199,199,796,796,398
809.0,0,1,404,808,202,404,808,101,404,404,202,808,808,404,404,808,101,808,202,202,404,808,808,404,808,202,202,808,202,808,808,808,404,202,808,404,404,808,404,808,101,808,808,404,8,202,101,808,808,101,404,101,404,808,808,808,404,808,808,808,808,404,808,404,202,202,404,808,808,808,202,808,101,202,808,808,101,808,808,202,404,202,808,808,808,808,202,404,808,101,404,404,404,404,808,404,808,404,404,808
811.0,0,1,270,810,135,405,405,27,90,405,810,405,162,810,30,18,135,162,810,135,405,810,162,810,405,405,405,270,135,135,135,810,54,810,405,405,405,135,90,81,162,45,405,405,405,405,405,54,810,27,162,405,810,135,9,45,270,810,30,45,270,162,81,405,45,270,405,81,810,27,810,810,810,405,90,810,27,405,810,162,405,405,270,162,162,90,810,810,810,135,810,810,810,405,45,81,405,405,270,27
821.0,0,1,820,820,410,410,410,410,820,410,820,820,820,820,820,820,205,820,820,205,205,820,410,410,205,205,205,820,41,205,205,820,164,410,205,41,205,82,164,205,164,410,41,205,820,205,164,820,164,205,164,5,820,820,205,820,820,164,820,820,164,820,410,41,410,820,820,410,820,164,820,410,164,205,820,164,410,164,820,205,410,205,820,820,820,820,820,820,41,205,164,820,205,410,410,410,410,820,820,20
823.0,0,1,411,822,411,274,822,822,137,411,822,274,274,411,822,411,411,822,137,274,822,411,822,822,822,137,137,274,274,274,411,411,411,411,274,411,411,411,822,274,274,822,137,822,822,822,274,822,822,411,411,137,411,411,822,137,822,411,822,411,137,274,137,274,137,822,411,274,822,137,411,137,411,822,411,822,822,411,822,137,822,411,274,137,411,411,274,411,274,411,274,274,822,274,274,137,274,411,137,822
827.0,0,1,826,413,413,118,826,826,826,413,413,413,413,826,413,826,413,826,826,413,14,826,826,413,118,59,413,413,826,826,413,413,826,413,413,413,413,826,826,826,413,826,413,826,413,826,826,118,413,413,826,118,826,826,826,826,413,413,413,826,826,413,826,826,413,413,826,826,826,413,826,413,826,413,413,413,413,826,413,413,826,413,59,413,118,413,59,826,118,826,413,413,413,59,413,826,826,826,826,413
