,0,1,2,3,4,5,6,7,8,9
43931,0,1,7252,21756,3626,21756,1554,3626,7252,10878
44377,0,1,3663,7326,3663,2442,7326,3663,1221,3663
47053,0,1,7770,7770,3885,7770,7770,7770,2590,3885
28829,0,1,1582,14238,791,4746,14238,14238,1582,7119
29737,0,1,14690,7345,7345,14690,14690,7345,14690,7345
31099,0,1,7684,15368,3842,15368,15368,7684,7684,7684
31553,0,1,15594,15594,7797,15594,5198,7797,5198,7797
33823,0,1,16724,16724,8362,8362,8362,8362,16724,8362
34277,0,1,3390,5650,1695,16950,16950,16950,1130,2825
35639,0,1,5876,8814,2938,17628,17628,5876,5876,4407
37001,0,1,18306,18306,9153,6102,6102,18306,6102,9153
37909,0,1,18758,9379,9379,18758,18758,9379,18758,9379
39271,0,1,19436,19436,9718,19436,9718,19436,19436,9718
40633,0,1,20114,10057,10057,20114,20114,20114,20114,10057
41087,0,1,20340,5085,10170,3390,6780,1356,6780,5085
43357,0,1,21470,10735,10735,4294,4294,1130,21470,10735
43811,0,1,10848,1808,5424,21696,10848,2712,3616,904
44719,0,1,22148,22148,11074,22148,1582,11074,22148,11074
45173,0,1,22374,22374,11187,7458,22374,11187,7458,11187
47897,0,1,23730,23730,11865,7910,23730,23730,7910,11865
50621,0,1,8362,25086,4181,25086,25086,4181,8362,12543
29083,0,1,532,2394,266,798,4788,4788,532,1197
29999,0,1,4940,3705,2470,7410,14820,14820,4940,3705
31373,0,1,1292,7752,646,7752,7752,3876,1292,3876
31831,0,1,5244,2622,2622,2622,5244,5244,1748,1311
34121,0,1,2812,8436,1406,4218,8436,8436,2812,4218
34579,0,1,1140,2850,570,2850,5700,5700,380,1425
35953,0,1,988,1482,494,2964,2964,2964,988,741
37327,0,1,6156,3078,3078,1026,2052,6156,2052,1539
38243,0,1,6308,4731,3154,9462,18924,18924,6308,4731
39617,0,1,3268,9804,1634,9804,9804,9804,3268,4902
40991,0,1,6764,5073,3382,10146,20292,20292,6764,5073
41449,0,1,3420,855,1710,570,1140,228,1140,855
43739,0,1,380,285,190,114,228,1140,380,285
44197,0,1,1824,912,912,3648,1824,456,608,456
45113,0,1,3724,11172,1862,11172,1596,11172,3724,5586
45571,0,1,7524,3762,3762,1254,7524,7524,2508,1881
48319,0,1,7980,3990,3990,3990,7980,7980,2660,1995
51067,0,1,2812,4218,1406,4218,8436,8436,2812,2109
51983,0,1,8588,6441,4294,12882,25764,25764,8588,6441
29591,0,1,203,14616,203,4872,14616,7308,203,7308
30523,0,1,3770,15080,1885,15080,15080,7540,3770,7540
31921,0,1,1972,3944,986,3944,3944,1972,1972,1972
32387,0,1,4002,16008,2001,16008,5336,8004,1334,8004
34717,0,1,4292,8584,2146,8584,8584,4292,4292,4292
35183,0,1,435,5800,435,17400,17400,8700,145,2900
36581,0,1,1508,9048,754,9048,9048,1508,1508,4524
37979,0,1,4698,18792,2349,6264,6264,9396,1566,9396
38911,0,1,2407,19256,2407,19256,19256,9628,2407,9628
40309,0,1,4988,9976,2494,9976,9976,4988,4988,4988
41707,0,1,5162,20648,2581,20648,20648,10324,5162,10324
42173,0,1,5220,10440,2610,3480,3480,348,1740,5220
44503,0,1,2755,22040,2755,4408,4408,580,2755,11020
44969,0,1,2784,464,1392,5568,2784,696,928,232
45901,0,1,5684,11368,2842,11368,1624,5684,5684,5684
46367,0,1,2871,22968,2871,7656,22968,11484,957,11484
49163,0,1,6090,24360,3045,8120,24360,12180,2030,12180
51959,0,1,1073,25752,1073,25752,25752,4292,1073,12876
52891,0,1,6554,26216,3277,26216,26216,13108,6554,13108
53357,0,1,2204,13224,1102,13224,13224,6612,2204,6612
30353,0,1,119,2142,119,714,2142,2142,119,1071
31309,0,1,15470,7735,7735,7735,2210,15470,15470,7735
32743,0,1,476,952,238,952,136,476,476,476
33221,0,1,16422,16422,8211,8211,391,16422,5474,8211
35611,0,1,17612,17612,8806,4403,629,8806,17612,8806
36089,0,1,1785,5950,1785,8925,2550,17850,595,2975
37523,0,1,6188,9282,3094,18564,2652,6188,6188,4641
38957,0,1,19278,19278,9639,6426,459,19278,6426,9639
39913,0,1,9877,9877,9877,19754,1411,19754,9877,9877
41347,0,1,20468,20468,10234,20468,731,20468,20468,10234
42781,0,1,21182,10591,10591,10591,3026,21182,21182,10591
43259,0,1,21420,5355,10710,1785,1020,1428,7140,5355
45649,0,1,11305,11305,11305,2261,323,1190,11305,11305
46127,0,1,11424,1904,5712,22848,1632,2856,3808,952
47083,0,1,3332,3332,1666,3332,238,1666,3332,1666
47561,0,1,11781,23562,11781,3927,3366,23562,3927,11781
50429,0,1,3570,3570,1785,595,1785,3570,1190,1785
53297,0,1,4403,26418,4403,26418,3774,8806,4403,13209
54253,0,1,26894,13447,13447,26894,3842,26894,26894,13447
54731,0,1,9044,6783,4522,13566,3876,27132,9044,6783
55687,0,1,3451,27608,3451,27608,3944,13804,3451,13804
30607,0,1,168,2520,84,840,1260,5040,56,1260
31571,0,1,1560,1560,780,520,260,3120,520,780
33017,0,1,408,2040,204,680,680,4080,136,1020
33499,0,1,552,2760,276,2760,460,5520,184,1380
35909,0,1,888,4440,444,1480,740,8880,296,2220
36391,0,1,120,600,60,600,300,1200,40,300
37837,0,1,312,1560,156,1560,780,3120,104,780
39283,0,1,648,3240,324,1080,540,6480,216,1620
40247,0,1,1992,9960,996,3320,1660,19920,664,4980
41693,0,1,1032,5160,516,1720,860,10320,344,2580
43139,0,1,2136,10680,1068,3560,1780,21360,712,5340
43621,0,1,360,360,180,120,60,240,120,180
46031,0,1,2280,2280,1140,760,380,240,760,1140
46513,0,1,96,240,48,960,480,240,32,120
47477,0,1,1176,5880,588,1960,140,11760,392,2940
47959,0,1,792,3960,396,1320,1980,7920,264,1980
50851,0,1,840,840,420,280,420,1680,280,420
53743,0,1,888,4440,444,4440,2220,8880,296,2220
54707,0,1,2712,13560,1356,4520,2260,27120,904,6780
55189,0,1,456,2280,228,2280,1140,4560,152,1140
56153,0,1,696,3480,348,1160,1160,6960,232,1740
57599,0,1,2856,14280,1428,4760,340,28560,952,7140
31877,0,1,350,15750,175,1050,15750,15750,350,7875
32881,0,1,650,1625,325,325,3250,1625,650,1625
34387,0,1,1700,17000,850,3400,17000,8500,1700,8500
34889,0,1,3450,17250,1725,1725,5750,8625,1150,8625
37399,0,1,3700,18500,1850,925,9250,9250,3700,9250
37901,0,1,150,250,75,75,750,750,50,125
39407,0,1,1300,9750,650,3900,19500,6500,1300,4875
40913,0,1,4050,20250,2025,1350,6750,20250,1350,10125
41917,0,1,4150,10375,2075,4150,20750,10375,4150,10375
43423,0,1,4300,21500,2150,4300,10750,21500,4300,10750
44929,0,1,4450,11125,2225,2225,22250,22250,4450,11125
45431,0,1,900,1125,450,75,1500,1500,300,1125
47941,0,1,950,2375,475,475,4750,250,950,2375
48443,0,1,2400,2000,1200,4800,12000,3000,800,1000
49447,0,1,4900,24500,2450,4900,1750,12250,4900,12250
49949,0,1,4950,24750,2475,825,24750,12375,1650,12375
52961,0,1,1050,5250,525,175,5250,5250,350,2625
55973,0,1,1850,27750,925,5550,27750,4625,1850,13875
56977,0,1,5650,14125,2825,5650,28250,14125,5650,14125
57479,0,1,1900,7125,950,2850,28500,28500,1900,7125
58483,0,1,1450,29000,725,5800,29000,14500,1450,14500
59989,0,1,5950,14875,2975,2975,4250,29750,5950,14875
60491,0,1,600,3000,300,200,500,6000,200,1500
32639,0,1,112,16128,56,5376,16128,16128,112,8064
33667,0,1,1040,16640,520,16640,16640,16640,1040,8320
35209,0,1,272,4352,136,4352,4352,4352,272,2176
35723,0,1,1104,17664,552,17664,5888,17664,368,8832
38293,0,1,592,9472,296,9472,9472,9472,592,4736
38807,0,1,240,6400,120,19200,19200,19200,80,3200
40349,0,1,208,9984,104,9984,9984,3328,208,4992
41891,0,1,1296,20736,648,6912,6912,20736,432,10368
42919,0,1,1328,21248,664,21248,21248,21248,1328,10624
44461,0,1,688,11008,344,11008,11008,11008,688,5504
46003,0,1,1424,22784,712,22784,22784,22784,1424,11392
46517,0,1,720,11520,360,3840,3840,768,240,5760
49087,0,1,1520,24320,760,4864,4864,1280,1520,12160
49601,0,1,96,256,48,768,768,768,32,128
50629,0,1,784,12544,392,12544,1792,12544,784,6272
51143,0,1,1584,25344,792,8448,25344,25344,528,12672
54227,0,1,1680,26880,840,8960,26880,26880,560,13440
57311,0,1,592,28416,296,28416,28416,9472,592,14208
58339,0,1,1808,28928,904,28928,28928,28928,1808,14464
58853,0,1,304,14592,152,14592,14592,14592,304,7296
59881,0,1,464,7424,232,7424,7424,7424,464,3712
61423,0,1,1904,30464,952,30464,4352,30464,1904,15232
61937,0,1,48,3840,24,1280,1280,3840,16,1920
64507,0,1,400,32000,200,6400,32000,32000,400,16000
33401,0,1,917,16506,917,5502,16506,16506,917,8253
34453,0,1,17030,8515,8515,17030,17030,17030,17030,8515
36031,0,1,8908,17816,4454,17816,17816,8908,8908,8908
36557,0,1,18078,18078,9039,18078,3013,18078,6026,9039
39187,0,1,19388,19388,9694,9694,4847,9694,19388,9694
39713,0,1,1965,6550,1965,19650,19650,19650,655,3275
41291,0,1,6812,10218,3406,20436,20436,6812,6812,5109
42869,0,1,21222,21222,10611,7074,3537,21222,7074,10611
43921,0,1,10873,10873,10873,21746,10873,21746,10873,10873
45499,0,1,22532,22532,11266,22532,5633,22532,22532,11266
47077,0,1,23318,11659,11659,23318,23318,23318,23318,11659
47603,0,1,23580,5895,11790,3930,7860,1572,7860,5895
50233,0,1,12445,12445,12445,4978,2489,1310,12445,12445
50759,0,1,12576,2096,6288,25152,12576,3144,4192,1048
51811,0,1,25676,25676,12838,25676,1834,12838,25676,12838
52337,0,1,12969,25938,12969,8646,25938,25938,4323,12969
55493,0,1,27510,27510,13755,9170,13755,27510,9170,13755
58649,0,1,4847,29082,4847,29082,29082,9694,4847,14541
59701,0,1,29606,14803,14803,29606,29606,29606,29606,14803
60227,0,1,9956,7467,4978,14934,29868,29868,9956,7467
61279,0,1,3799,30392,3799,30392,30392,15196,3799,15196
62857,0,1,15589,15589,15589,31178,2227,31178,15589,15589
63383,0,1,3144,15720,1572,5240,2620,31440,1048,7860
66013,0,1,6550,16375,3275,6550,32750,32750,6550,16375
67591,0,1,2096,33536,1048,33536,33536,33536,2096,16768
34163,0,1,1876,16884,938,2814,8442,16884,1876,8442
35239,0,1,17420,17420,8710,4355,8710,17420,17420,8710
36853,0,1,4556,9112,2278,9112,9112,4556,4556,4556
37391,0,1,18492,18492,9246,4623,3082,18492,6164,9246
40081,0,1,9916,9916,4958,2479,4958,9916,9916,4958
40619,0,1,4020,6700,2010,5025,10050,20100,1340,3350
42233,0,1,3484,10452,1742,10452,10452,3484,3484,5226
43847,0,1,21708,21708,10854,3618,3618,21708,7236,10854
44923,0,1,22244,22244,11122,11122,11122,22244,22244,11122
46537,0,1,11524,11524,5762,11524,5762,11524,11524,5762
48151,0,1,23852,23852,11926,5963,11926,23852,23852,11926
48689,0,1,12060,12060,6030,1005,4020,804,4020,6030
51379,0,1,25460,25460,12730,1273,2546,1340,25460,12730
51917,0,1,6432,1072,3216,12864,6432,1608,2144,536
52993,0,1,13132,13132,6566,13132,938,13132,13132,6566
53531,0,1,26532,26532,13266,2211,13266,26532,8844,13266
56759,0,1,28140,28140,14070,2345,14070,28140,9380,14070
59987,0,1,9916,29748,4958,14874,14874,9916,9916,14874
61063,0,1,30284,30284,15142,15142,15142,30284,30284,15142
61601,0,1,5092,15276,2546,7638,15276,15276,5092,7638
62677,0,1,7772,15544,3886,15544,15544,7772,7772,7772
64291,0,1,31892,31892,15946,7973,2278,31892,31892,15946
64829,0,1,1608,8040,804,2680,1340,16080,536,4020
67519,0,1,6700,33500,3350,1675,16750,33500,6700,16750
69133,0,1,1072,17152,536,17152,17152,17152,1072,8576
70747,0,1,35108,35108,17554,17554,17554,35108,35108,17554
